"region","Crash.ID","State","Month","Year","Dayweek","Time","Crash.Type","Bus.Involvement","Heavy.Rigid.Truck.Involvement","Articulated.Truck.Involvement","Speed.Limit","Road.User","Gender","Age","National.Remoteness.Areas","SA4.Name.2016","National.LGA.Name.2017","National.Road.Type","Christmas.Period","Easter.Period","Age.Group","Day.of.week","Time.of.day","city","lat","long","latc","longc","initialZoom"
"New South Wales",20171039,"NSW","Jun",2017,"Friday","13:37","Multiple","No","Yes","No","60","Driver","Male",30,"Major Cities of Australia","Sydney - Parramatta","Parramatta","Local Road","No","No","26_to_39","Weekday","Day","Parramatta",-33.89,151.14,-35.473469,149.012375,5
"New South Wales",20191020,"NSW","May",2019,"Wednesday","19:00","Single","No","No","No","100","Motorcycle rider","Male",20,"Very Remote Australia","Far West and Orana","Walgett","Local Road","No","No","17_to_25","Weekday","Night","Walgett",-29.958521,147.983033,-35.473469,149.012375,5
"New South Wales",20191161,"NSW","Aug",2019,"Thursday","1:35","Single","No","No","No","50","Motorcycle rider","Male",23,"Inner Regional Australia","Coffs Harbour - Grafton","Coffs Harbour","Local Road","No","No","17_to_25","Weekday","Night","Coffs Harbour",-30.097726,152.658268,-35.473469,149.012375,5
"New South Wales",20191105,"NSW","Jan",2019,"Sunday","18:30","Single","No","No","No","100","Passenger","Male",41,"Outer Regional Australia","Riverina","Temora","Arterial Road","No","No","40_to_64","Weekend","Night","Temora",-34.487779,147.583811,-35.473469,149.012375,5
"New South Wales",20191247,"NSW","Aug",2019,"Sunday","13:45","Multiple","No","No","No","80","Motorcycle rider","Male",73,"Outer Regional Australia","Hunter Valley exc Newcastle","Singleton","Arterial Road","No","No","65_to_74","Weekend","Day","Singleton",-32.760486,150.972137,-35.473469,149.012375,5
"New South Wales",20191037,"NSW","Jul",2019,"Tuesday","18:56","Pedestrian","Yes","No","No","50","Pedestrian","Female",29,"Major Cities of Australia","Sydney - Eastern Suburbs","Waverley","Arterial Road","No","No","26_to_39","Weekday","Night","Waverley",-33.904414,151.259392,-35.473469,149.012375,5
"New South Wales",20171286,"NSW","Jun",2017,"Sunday","14:25","Multiple","No","No","No","80","Motorcycle rider","Male",6,"Outer Regional Australia","Riverina","Griffith","Local Road","No","No","0_to_16","Weekend","Day","Griffith",-34.321422,145.914625,-35.473469,149.012375,5
"New South Wales",20181117,"NSW","Nov",2018,"Tuesday","18:40","Pedestrian","No","No","No","70","Pedestrian","Female",77,"Major Cities of Australia","Sydney - Sutherland","Sutherland","Arterial Road","No","No","75_or_older","Weekday","Night","Sutherland",-34.02,151.06,-35.473469,149.012375,5
"New South Wales",20181041,"NSW","Aug",2018,"Friday","19:18","Pedestrian","No","No","No","60","Pedestrian","Male",37,"Major Cities of Australia","Sydney - North Sydney and Hornsby","Lane Cove","National or State Highway","No","No","26_to_39","Weekend","Night","Lane Cove",-33.79,151.19,-35.473469,149.012375,5
"New South Wales",20171148,"NSW","Jul",2017,"Thursday","12:45","Multiple","No","No","No","50","Driver","Male",58,"Major Cities of Australia","Sydney - South West","Fairfield","Local Road","No","No","40_to_64","Weekday","Day","Fairfield",-33.85,150.96,-35.473469,149.012375,5
"New South Wales",20181274,"NSW","Mar",2018,"Friday","23:15","Pedestrian","No","No","No","100","Pedestrian","Female",29,"Remote Australia","Murray","Wentworth","Arterial Road","No","No","26_to_39","Weekend","Night","Wentworth",-33.466819,141.90794,-35.473469,149.012375,5
"New South Wales",20191255,"NSW","Aug",2019,"Thursday","7:25","Multiple","No","No","No","60","Driver","Male",84,"Major Cities of Australia","Sydney - South West","Liverpool","Collector Road","No","No","75_or_older","Weekday","Day","Liverpool",-33.89,151.1,-35.473469,149.012375,5
"New South Wales",20191153,"NSW","May",2019,"Saturday","17:50","Pedestrian","No","No","No","60","Pedestrian","Female",73,"Major Cities of Australia","Sydney - Parramatta","Parramatta","National or State Highway","No","No","65_to_74","Weekend","Day","Parramatta",-33.89,151.14,-35.473469,149.012375,5
"New South Wales",20191233,"NSW","Mar",2019,"Saturday","19:05","Multiple","No","No","No","60","Passenger","Male",12,"Major Cities of Australia","Sydney - Parramatta","Parramatta","Arterial Road","No","No","0_to_16","Weekend","Night","Parramatta",-33.89,151.14,-35.473469,149.012375,5
"New South Wales",20191207,"NSW","Mar",2019,"Tuesday","17:25","Multiple","No","No","No","100","Driver","Female",35,"Inner Regional Australia","Riverina","Wagga Wagga","Arterial Road","No","No","26_to_39","Weekday","Day","Wagga Wagga",-35.07459,147.376202,-35.473469,149.012375,5
"New South Wales",20181199,"NSW","Jul",2018,"Friday","12:45","Pedestrian","No","No","Yes","50","Pedestrian","Female",68,"Major Cities of Australia","Sydney - North Sydney and Hornsby","Hornsby","Collector Road","No","No","65_to_74","Weekday","Day","Hornsby",-33.71,151.1,-35.473469,149.012375,5
"New South Wales",20191064,"NSW","Mar",2019,"Friday","16:20","Single","No","No","No","50","Driver","Female",84,"Inner Regional Australia","Richmond - Tweed","Lismore","Arterial Road","No","No","75_or_older","Weekday","Day","Lismore",-28.706486,153.25943,-35.473469,149.012375,5
"New South Wales",20151018,"NSW","May",2015,"Sunday","3:25","Pedestrian","No","No","No","80","Pedestrian","Male",25,"Inner Regional Australia","Richmond - Tweed","Ballina","Sub-arterial Road","No","No","17_to_25","Weekend","Night","Ballina",-28.865483,153.532475,-35.473469,149.012375,5
